序号,点名 1,点名 2,点名 3,挖方体积,填方体积,总体积
1,c6,c5,c8,-37.130,1.828,-35.302
2,c7,c6,c8,21.250,-3.118,18.132
3,c22,c7,c8,14.979,-0.127,14.851
4,c5,c8,c9,43.540,-7.342,36.198
5,c5,c4,c10,47.999,-14.134,33.865
6,c5,c9,c10,59.969,-5.262,54.707
7,c4,c3,c11,57.807,0.000,57.807
8,c4,c10,c11,73.198,0.000,73.198
9,c2,c1,c12,35.423,-0.362,35.062
10,c3,c2,c12,39.615,-0.061,39.554
11,c3,c11,c12,65.233,0.000,65.233
12,c1,c13,c12,221.849,0.000,221.849
13,c13,c15,c14,31.568,0.000,31.568
14,c15,c14,c16,50.293,0.000,50.293
15,c13,c12,c16,277.195,0.000,277.195
16,c13,c14,c16,79.787,0.000,79.787
17,c12,c16,c17,155.870,0.000,155.870
18,c12,c17,c18,75.400,0.000,75.400
19,c33,c19,c19,0.000,0.000,0.000
20,c19,c10,c19,0.000,0.000,0.000
21,c19,c12,c19,0.000,0.000,0.000
22,c12,c18,c19,273.551,0.000,273.551
23,c9,c10,c20,133.937,0.000,133.937
24,c10,c19,c20,294.083,0.000,294.083
25,c22,c8,c21,107.696,-0.021,107.675
26,c8,c9,c21,109.356,0.000,109.356
27,c9,c20,c21,152.592,0.000,152.592
28,c22,c21,c24,107.647,-0.027,107.620
29,c20,c21,c25,179.670,0.000,179.670
30,c21,c24,c25,125.971,0.000,125.971
31,c20,c25,c26,196.857,0.000,196.857
32,c19,c20,c27,501.029,0.000,501.029
33,c20,c26,c27,239.533,0.000,239.533
34,c36,c28,c29,227.251,0.000,227.251
35,c19,c17,c29,626.686,0.000,626.686
36,c19,c27,c29,533.329,0.000,533.329
37,c27,c28,c29,96.572,0.000,96.572
38,c15,c16,c30,467.098,0.000,467.098
39,c16,c17,c30,337.665,0.000,337.665
40,c17,c29,c30,424.298,0.000,424.298
41,c33,c34,c31,149.824,0.000,149.824
42,c35,c36,c31,200.804,0.000,200.804
43,c36,c29,c31,558.683,0.000,558.683
44,c29,c30,c31,118.816,0.000,118.816
45,c34,c35,c31,166.549,0.000,166.549
46,c15,c32,c31,349.296,0.000,349.296
47,c15,c30,c31,310.793,0.000,310.793
48,c32,c33,c31,201.117,0.000,201.117
49,c36,c23,c37,54.558,-15.365,39.193
50,c36,c28,c37,258.823,0.000,258.823
51,c26,c27,c37,115.225,0.000,115.225
52,c27,c28,c37,115.612,0.000,115.612
53,c25,c26,c38,35.698,0.000,35.698
54,c26,c37,c38,52.343,0.000,52.343
55,c23,c24,c39,5.585,-0.431,5.154
56,c23,c37,c39,30.725,-0.803,29.921
57,c37,c38,c39,38.069,0.000,38.069
58,c24,c25,c39,16.273,0.000,16.273
59,c25,c38,c39,30.667,0.000,30.667
60,c23,c22,c40,0.000,-6.553,-6.553
61,c23,c24,c40,-0.856,0.165,-0.692
62,c22,c24,c40,-0.019,5.126,5.108
