        序号        点名        点名        点名                挖方体积                填方体积                 总体积
    0    6    5    4              0.0000             24.0015             24.0015
    1   11    9   10              8.1370              0.0000              8.1370
    2   13   12   11              8.4924              0.0000              8.4924
    3   14   13   11             21.7953              0.0000             21.7953
    4   14   11   10             58.7811              0.0000             58.7811
    5   15   13   14              7.9954              0.0000              7.9954
    6   16   15   14              3.8565              0.0000              3.8565
    7   18   17   16             11.5069              0.0000             11.5069
    8   19   10    9            160.5025              0.0000            160.5025
    9   19    9    8            255.7729              0.0000            255.7729
   10   19   14   10            259.6375              0.0000            259.6375
   11   19   18   16             28.0169              0.0000             28.0169
   12   19   16   14             65.6300              0.0000             65.6300
   13   20   18   19             14.5670              0.0000             14.5670
   14   23   22   21            -21.7913           -107.4373           -129.2286
   15   24   23   21              7.4196             45.7296             53.1492
   16   25   23   24             24.5699             63.1740             87.7439
   17   26   25   24             22.7096             39.4782             62.1878
   18   27   23   25             24.5699             99.0679            123.6378
   19   27   25   26             23.4053             75.0109             98.4162
   20   28   27   26              0.0000              4.5149              4.5149
   21   29   22   23              5.6319             94.1682             99.8001
   22   29   23   27              0.0000             41.6485             41.6485
   23   29   27   28              0.0000              3.3638              3.3638
   24   30   29   28              0.0000             10.3257             10.3257
   25   31   29   30              0.0000              1.1358              1.1358
   26   32   31   30              0.0000              5.5836              5.5836
   27   32   30   28              0.0000             29.0409             29.0409
   28   34   32   33             15.6221            130.9709            146.5930
   29   36   29   31              0.0000             27.2022             27.2022
   30   36   31   32              0.0000             47.0111             47.0111
   31   36   32   34              0.0000             39.9911             39.9911
   32   36   34   35              0.0000             16.8648             16.8648
   33   37   29   36              0.0000             14.2820             14.2820
   34   38   37   36              0.0000             16.3509             16.3509
   35   38   36   35              0.0000             28.1000             28.1000
   36   39   35   38              0.0000             19.4329             19.4329
   37   40   35   39              0.0000              8.3422              8.3422
   38   41   39   38             24.8451             95.5855            120.4306
   39   41   38   37             32.0734            136.3375            168.4109
   40   41   40   39             25.8906             53.1362             79.0267
   41   42   41   37             36.2579             93.9033            130.1612
   42   42   40   41             25.8906             18.6097             44.5002
   43   43   42   37             21.7446            107.6906            129.4351
   44   44   40   42            793.4621            145.8781            939.3401
   45   44   42   43            -53.9611             -9.2548            -63.2159
   46   45   44   43              7.0579              0.0000              7.0579
   47   46   44   45              3.2553              0.0000              3.2553
   48   47   44   46              1.7497              0.0000              1.7497
   49   47   46   45              5.4309              0.0000              5.4309
   50   48   44   47              7.1209              0.0000              7.1209
   51   48   47   45              4.8931              0.0000              4.8931
   52   50   48   49             37.9046              0.0000             37.9046
   53   53   44   48            307.6324              0.0000            307.6324
   54   53   48   50            327.9639              0.0000            327.9639
   55   53   50   51            121.0706              0.0000            121.0706
   56   53   51   52             50.6771              0.0000             50.6771
   57   54   53   52             31.6199              0.0000             31.6199
   58   55   44   53            339.9685              0.0000            339.9685
   59   55   53   54             26.9446              0.0000             26.9446
   60   56   40   44           -342.4036            -30.3545           -372.7581
   61   56   44   55            323.4340              0.0000            323.4340
   62   57   56   55           -142.7724           -178.9920           -321.7645
   63   57   55   54            -38.3433            -89.2077           -127.5510
   64   58   57   54              6.2219             34.3314             40.5533
   65   58   54   52             -9.0241            -12.2821            -21.3062
   66   58   56   57            129.2400            275.1964            404.4364
   67   59   58   52            107.0064            177.5812            284.5876
   68   60   56   58             48.8197            108.4271            157.2468
   69   60   58   59              0.0000             65.3012             65.3012
   70   61   56   60             64.4562            142.0706            206.5268
   71   63   56   61            306.4639            685.0462            991.5101
   72   63   61   62              0.0000             37.5938             37.5938
   73   64   56   63            518.5075           1029.9352           1548.4427
   74   65   64   63              0.0000             11.9542             11.9542
   75   66   40   56           1170.0163           1144.0945           2314.1108
   76   66   56   64            681.4384           1173.5210           1854.9594
   77   66   64   65              0.0000              4.5620              4.5620
   78   67   33   34              1.4832              8.0882              9.5714
   79   67   34   35              0.0000            493.1694            493.1694
   80   67   35   40              0.0000           1277.7517           1277.7517
   81   67   40   66              0.0000           1529.9328           1529.9328
   82   68   67   66              0.0000            124.6050            124.6050
   83   69   68   66              0.0000            229.5402            229.5402
